sample_key,metal,site,analyst,X,conc_blanked,conc_blanked_error,conc_unblanked,conc_unblanked_error
24,Pb208,C,SGB,89,321154.2819715999,7995.956759933136,322495.5042409242,7722.671494977187
26,As75,C,AWB,101,2411.5796253832277,185.38228469342198,2546.3901834643825,101.8844255502815
26,Cd111,C,AWB,99,146.81635716729414,20.18929707912759,161.32397234421316,12.55054623871673
26,Cd114,C,AWB,97,188.00594938127406,19.854174825275543,206.65287522866583,5.668033061118923
26,Cr52,C,AWB,100,29104.140539067586,869.9274578160828,30623.75215261453,883.7183372850413
26,Cr53,C,AWB,102,29973.705222663506,832.5286128756417,31515.30890593492,844.3762061072823
26,Pb208,C,AWB,98,249134.44574113598,6820.524160506586,250426.4304353459,6517.424554256615
27,As75,QC,AWB,108,14334.708171379674,372.05804316281666,14466.75873259764,342.15838645531204
27,Cd111,QC,AWB,106,2487.235239341914,91.52509977726896,2501.4458379279185,90.399503209124
27,Cd114,QC,AWB,103,2593.473821156347,67.77229277184225,2611.7389856819295,65.51451941079878
27,Cr52,QC,AWB,104,59813.517320667714,1550.5572552167498,61302.01769673927,1573.0920065357816
27,Cr53,QC,AWB,105,61179.96784048136,1503.6925812138475,62690.01003932107,1526.0343484760615
27,Pb208,QC,AWB,107,1314692.7596798246,31987.583484462197,1315958.2933767682,31949.12963832555
38,As75,C,GB,110,2963.129897732467,211.8823306927354,3121.604739009393,107.8070288052366
38,Cd111,C,GB,109,204.96317261748348,32.41872376149309,222.0174155877183,26.549376712880488
38,Cd114,C,GB,114,201.83195984652139,23.39150541645884,223.7521169620278,6.703283584682755
38,Cr52,C,GB,111,42940.349661197746,1037.0120118440009,44726.70981493625,1049.7909814574198
38,Cr53,C,GB,112,43834.2302664316,1042.2994193081076,45646.44291873212,1051.7741138016086
38,Pb208,C,GB,113,342509.8271268389,7615.484367900764,344028.6033433418,7234.12136468555
39,As75,QC,GB,115,11311.60078230828,434.5120841255466,11450.312626952515,405.6809982168082
39,Cd111,QC,GB,119,1914.4951770290395,87.63996238313214,1929.42262849295,86.26573187324811
39,Cd114,QC,GB,118,2062.5501877500274,66.85453249813503,2081.7367375132803,64.19705309121925
39,Cr52,QC,GB,117,46238.72645148662,1233.7877819754037,47802.31414860904,1251.9260589214143
39,Cr53,QC,GB,120,47518.36149051103,1168.801268516616,49104.57768648731,1186.3082058557345
39,Pb208,QC,GB,116,975237.1880876136,26217.993291335148,976566.5615635255,26153.560983589257
40,As75,B,AB,121,2930.5802667442763,195.54735966116613,3086.468478735176,77.7575088949157
40,Cd111,B,AB,122,114.84785487179505,20.917582369383624,131.62373817331292,10.073644527856997
40,Cd114,B,AB,126,240.47114900217176,22.875846482112895,262.0335249084187,6.169487957999393
40,Cr52,B,AB,124,14805.037453487379,426.5026577640961,16562.240603806174,411.10049366300245
40,Cr53,B,AB,123,15092.843804909397,427.70989728421205,16875.47748883123,402.52044746589604
40,Pb208,B,AB,125,159732.8388632802,4226.649985950398,161226.82558632863,3488.88285040404
41,As75,B,LF,127,4409.876660055115,226.46184480147454,4557.78397695348,150.40715099117966
41,Cd111,B,LF,129,168.23802682659567,38.22496401792819,184.1550474661835,34.05722779129105
41,Cd114,B,LF,131,434.63873144317273,25.826578439142093,455.0971941166244,15.338962175092256
41,Cr52,B,LF,132,19558.685774308913,586.9810596040154,21225.92667655353,588.8068945405465
41,Cr53,B,LF,130,20160.835597843885,579.963660034106,21852.20508521037,576.3097411042928
41,Pb208,B,LF,128,949115.2340952032,34644.48719414243,950532.7342696281,34587.23117290634
44,As75,QC,KAD,148,17311.68780856884,414.06507690206666,17465.377315171998,376.7472862270767
44,Cd111,QC,KAD,147,2871.4077408825283,101.30892264937633,2887.9470108793703,99.86724409008438
44,Cd114,QC,KAD,150,3169.4215226283077,79.95629888825434,3190.679774755905,77.27485496631472
44,Cr52,QC,KAD,146,72651.67762703201,1733.4222857515513,74384.09652981459,1752.9847550593472
44,Cr53,QC,KAD,145,74758.84664937115,1629.3203505799686,76516.33740404164,1648.8908424857104
44,Pb208,QC,KAD,149,1489667.1822750075,30408.03474394428,1491140.09725302,30342.890456539597
45,As75,B,KAD,152,3508.0517048157935,212.48281278297364,3648.150667906472,139.0677620606411
45,Cd111,B,KAD,156,201.45710858336497,197.50365760325374,216.53383456191486,196.81981136855066
45,Cd114,B,KAD,154,321.70611565938043,25.74469496870869,341.0845309202661,16.5442887611214
45,Cr52,B,KAD,155,19043.13630907982,531.9759653947935,20622.359883173467,534.5374346723866
45,Cr53,B,KAD,153,19647.204518610306,571.435243986571,21249.282876546346,568.8746874444156
45,Pb208,B,KAD,151,259995.192943896,8733.416818183616,261337.86015456708,8477.392790056312
46,As75,A,LML,160,2293.54478687964,175.63944184420302,2424.3251089174737,90.89108992582595
46,Cd111,A,LML,157,120.34513465323667,24.24956659502762,134.41903666687764,18.76935472200808
46,Cd114,A,LML,159,219.9568901943183,20.479541589673122,238.0463559012212,8.906322967111446
46,Cr52,A,LML,161,24856.81176316025,702.1674768282036,26330.993748761586,713.6550834319438
46,Cr53,A,LML,158,25848.860256207034,689.9671901632761,27344.37684646978,698.8350114617684
46,Pb208,A,LML,162,318125.06196681014,7915.116578025688,319378.4220654681,7677.274829071093
47,As75,QC,LML,163,14985.14930183647,394.8859195800216,15118.401244068844,366.48712843141834
47,Cd111,QC,LML,165,2557.4238372110362,150.32412954321603,2571.763722209662,149.63442264123952
47,Cd114,QC,LML,168,2743.542676600576,77.55566958433941,2761.974015519389,75.57894063692059
47,Cr52,QC,LML,166,64498.74779868554,1764.27569942109,66000.79038219078,1786.9985801358464
47,Cr53,QC,LML,164,66081.25253595156,2210.7554966097905,67605.0329272829,2228.4308137069675
47,Pb208,QC,LML,167,1323841.7270191559,37857.76058855665,1325118.7743979993,37825.18411107197
48,As75,A,AH,171,2223.778093968937,183.65405546130643,2363.457797940441,88.97664806565716
48,Cd111,A,AH,169,115.18719096236346,18.58357436785962,130.21879844242935,8.725753471370217
48,Cd114,A,AH,172,212.41261165907343,21.384491422062673,231.73303521799323,8.290286602304505
48,Cr52,A,AH,174,33986.17174459976,912.5111330414064,35560.669345923525,928.467716464761
48,Cr53,A,AH,170,35036.077332473506,882.1921004378373,36633.36132258283,896.2231596154433
48,Pb208,A,AH,173,256848.96623273258,6637.445799961276,258187.61538745475,6300.243914793669
51,As75,C,LG,192,3567.6620286875054,318.79702071953375,3711.133503058861,273.05933753556883
51,Cd111,C,LG,191,118.455066858672,44.77067012053832,133.89472506253338,41.47618695160979
51,Cd114,C,LG,189,543.1758783071297,34.12636781436785,563.0207775635226,27.582189486192195
51,Cr52,C,LG,188,11070.071331107696,471.7521791244709,12687.310527878686,460.33681516619964
51,Cr53,C,LG,190,11422.289882632302,369.2072177300864,13062.934031602577,345.135448613533
51,Pb208,C,LG,187,226578.80078662283,6532.496366147851,227953.78915238523,6164.285053039568
52,As75,B,MF,193,1717.254434093312,118.00394663432084,1776.4417060663304,99.34009034076148
52,Cd111,B,MF,194,82.95441948232683,9.081331399625526,89.32384764417218,6.097041898990872
52,Cd114,B,MF,196,177.9014425894524,13.137205533636626,186.08819507604835,10.545645834369628
52,Cr52,B,MF,195,9139.966582502884,528.498317154751,9807.137367525644,559.7276203834855
52,Cr53,B,MF,197,9317.121555390728,533.5002641185453,9993.947745973404,564.5081883953692
52,Pb208,B,MF,198,219292.35698826876,12298.709646043717,219859.5903753982,12295.492605130828
53,As75,QC,MF,201,8048.036889730543,375.2442633681339,8114.309164583413,370.31944103691575
53,Cd111,QC,MF,199,1248.1655707281968,62.83305383858662,1255.2974502645582,62.64078787384665
53,Cd114,QC,MF,200,1292.7917141349965,61.05181059210777,1301.95846051235,60.72902691113781
53,Cr52,QC,MF,204,33405.54592584545,1574.0679214798124,34152.58028247181,1604.8995415714087
53,Cr53,QC,MF,203,34178.39821455439,1587.7178315703043,34936.243775511546,1619.0200309795484
53,Pb208,QC,MF,202,568664.3698725376,26229.904510255714,569299.5038411163,26238.114046735445
54,As75,A,LAK,207,2513.645959962275,187.67691333550204,2639.5270980782475,119.96516730834084
54,Cd111,A,LAK,209,92.32605912759269,16.67071147432917,105.87273630045736,7.7053746003749986
54,Cd114,A,LAK,210,151.8524085294707,18.572501376730894,169.26422168004586,5.402976555664687
54,Cr52,A,LAK,208,16942.504770809217,518.2944129302372,18361.462173925855,526.4693213471388
54,Cr53,A,LAK,205,17197.03990037419,510.7578540493411,18636.53268889273,514.4243460975125
54,Pb208,A,LAK,206,166776.75180467975,4672.863650330911,167983.15956717607,4272.161833147618
56,As75,A,AVM,220,4440.463054292563,196.13145784156717,4587.02656574338,101.38601823265817
56,Cd111,A,AVM,221,140.78444782253374,24.143085610027914,156.55685506845876,16.925911367380273
56,Cd114,A,AVM,222,411.8761772611679,24.167384356214917,432.1487654683283,12.61193502936671
56,Cr52,A,AVM,218,19149.42762875316,617.7771746237341,20801.52088682576,616.9761916181595
56,Cr53,A,AVM,217,19808.50482175356,532.0732919561306,21484.50744574504,525.188202315344
56,Pb208,A,AVM,219,867454.7861936823,32188.41522463098,868859.407732376,32124.753483739714
57,As75,QC,AVM,226,15237.170879776744,645.4387436829549,15379.42208513024,625.8019338378396
57,Cd111,QC,AVM,223,2370.829203517821,115.62727529025577,2386.137542679796,114.56224821818876
57,Cd114,QC,AVM,227,2545.3723856379456,75.74737303958787,2565.048497922355,73.34701182538032
57,Cr52,QC,AVM,224,63169.16438419956,2393.331490245941,64772.64846417861,2408.416849243191
57,Cr53,QC,AVM,225,64702.385020728114,1835.5067135512975,66329.07498658921,1854.2340888635315
57,Pb208,QC,AVM,228,1031836.4506052302,34825.703610687495,1033199.7442720289,34775.33172883703
58,As75,B,SS,229,2903.822168858292,174.5096812879441,3036.456523176892,85.52089592918631
58,Cd111,B,SS,230,120.62442505581444,18.949541144135196,134.89784843660794,10.799315389221661
58,Cd114,B,SS,233,218.62360299115224,19.78816496847993,236.9695174729153,6.464519673669536
58,Cr52,B,SS,231,22017.5802568627,621.2269082080949,23512.66126569965,631.1495747767536
58,Cr53,B,SS,232,22543.685258884776,622.7449182327072,24060.403326491847,628.7652470953992
58,Pb208,B,SS,234,191988.72339749808,5098.020005198588,193259.8519956223,4690.583951972411
59,As75,QC,SS,237,15345.255291817808,411.84781811515217,15476.982412047659,385.46732100553925
59,Cd111,QC,SS,238,2448.0041368677307,104.84407925205664,2462.179928407055,103.87119513265787
59,Cd114,QC,SS,239,2563.1619022891045,69.51450395896103,2581.3823286264674,67.33482947375755
59,Cr52,QC,SS,235,63434.78651188809,1739.3258792414858,64919.64099635564,1761.9742224502043
59,Cr53,QC,SS,236,64925.16547882925,1660.372664706152,66431.50902212078,1683.4084419492328
59,Pb208,QC,SS,240,1043856.784513458,28776.32977947845,1045119.2184472074,28728.357721933495
6,As75,C,MRMJ,243,3856.821037330819,211.34931538127518,4000.5697235588455,132.41554876303778
6,Cd111,C,MRMJ,246,154.58928515788247,21.489943394842584,170.0587754683407,13.309017835045278
6,Cd114,C,MRMJ,241,227.77720893883796,21.77444751403374,247.66045199418073,7.905717130202364
6,Cr52,C,MRMJ,244,30441.758002513587,805.1356058520671,32062.12198685912,817.6915489102989
6,Cr53,C,MRMJ,242,31212.38883351785,787.8277176056364,32856.20299250346,797.2437268246312
6,Pb208,C,MRMJ,245,269706.8163896505,7026.571989654581,271084.4614722233,6688.63120132616
8,As75,E,ARG,346,2893.1883161547703,191.46885091465842,3048.621689946903,68.20383798387773
8,Cd111,E,ARG,348,107.98629471624619,22.487293413226933,124.71323068270809,13.095114063212689
8,Cd114,E,ARG,347,118.57019406221772,22.31712922502605,140.0696569868281,3.6807610250703324
8,Cr52,E,ARG,344,13244.115573150684,391.606765243327,14996.191696187863,372.01499743635145
8,Cr53,E,ARG,345,13523.94351718283,399.2898090496769,15301.375974639226,369.4118382397448
8,Pb208,E,ARG,343,117448.80145484573,3450.5463047458425,118938.42914252248,2489.409607831638
